Date,Open,High,Low,Close,Volume
2009-01-31,85.93,91.49,78.87,91.31,308986728
2009-02-28,89.88,98.99,86,92.63,503592187
2009-03-31,93.4,94.77,86.83,90.28,460141794
2009-04-30,91.34,91.38,84.92,87.27,268922628
2009-05-31,86.75,96.35,86.69,96.2,270842319
2009-06-30,96.47,96.97,89.95,91.18,299756840
2009-07-31,92.31,94.03,88.82,93.35,204170415
2009-08-31,94.14,95.25,91.28,93.4,154796649
2009-09-30,93.41,100.08,93.06,98.85,327691817
2009-10-31,98.84,104.7,97.74,102.53,357998728
2009-11-30,103.5,116.88,103.25,115.64,403521901
2009-12-31,117.3,119.54,105.31,107.31,569766487
2010-01-31,109.82,113.59,105.18,105.96,347262512
2010-02-28,106.64,110.39,102.28,109.43,368152396
2010-03-31,109.48,112.18,106.24,108.95,326171205
2010-04-30,109.97,115.7,109.92,115.36,274468333
2010-05-31,115.91,122.23,113.31,118.88,505027963
2010-06-30,119.88,123.56,117.05,121.68,326075303
2010-07-31,120.91,121.03,113.08,115.49,275570088
2010-08-31,116.12,122.95,115.2,122.08,214075163
2010-09-30,122.15,128.28,121.15,127.91,258078819
2010-10-31,128.72,134.85,128.22,132.62,348170502
2010-11-30,132.85,139.15,129.48,135.42,393902156
2010-12-31,135.71,139.54,132.86,138.72,296871157
2011-01-31,138.67,139,127.8,129.87,337826615
2011-02-28,130.52,138.2,129.28,137.66,221522203
2011-03-31,138.57,141.28,135.23,139.86,304859480
2011-04-30,138.65,153.03,137.72,152.37,303675871
2011-05-31,151.48,153.61,142.55,149.64,382743714
2011-06-30,149.66,151.86,145.2,146,291303341
2011-07-31,144.76,159.25,143.97,158.29,329709195
2011-08-31,157.47,184.82,156.78,177.72,762945596
2011-09-30,177.41,185.85,154.19,158.06,484744910
2011-10-31,161.09,170.29,155.27,167.34,267864370
2011-11-30,164.03,175.46,162.07,170.13,265253765
2011-12-31,169.85,170.8,148.27,151.99,292462760
2012-01-31,154.76,169.86,154.55,169.31,223252042
2012-02-29,169.75,174,164,164.29,259703441
2012-03-31,166.12,167.72,158.13,162.12,266824792
2012-04-30,161.96,163.56,156.58,161.88,194540262
2012-05-31,162.11,162.18,148.53,151.62,248854539
2012-06-30,155.41,159.2,150.15,155.19,232985375
2012-07-31,154.67,157.96,150.85,156.49,155202241
2012-08-31,155.18,164.22,153.61,164.22,190747437
2012-09-30,164.11,173.19,163.66,171.89,229737630
2012-10-31,172.83,174.07,164.6,166.83,165247643
2012-11-30,167.02,170.01,162.3,166.05,173587186
2012-12-31,166.11,166.94,158.39,162.02,200009863
2013-01-31,163.49,164.4,158.89,161.2,222444700
2013-02-28,162.66,162.96,150.84,153,241668129
2013-03-31,153.16,156.43,151.4,154.47,160633400
2013-04-30,154.57,154.93,130.51,142.77,454426611
2013-05-31,140.59,142.81,130.85,133.92,278847487
2013-06-30,134.77,137.62,114.68,119.11,254081544
2013-07-31,119.94,130.14,116.74,127.96,191331497
2013-08-31,127.84,137.55,123.55,134.62,194567227
2013-09-30,135.46,136.79,125.15,128.18,203955609
2013-10-31,125.25,131.44,121.85,127.74,203456690
2013-11-30,126.86,127.52,119.13,120.7,130612246
2013-12-31,119.2,122.32,114.46,116.12,185376135
2014-01-31,117.93,122.51,117.11,120.09,153023628
2014-02-28,120.47,129.53,120.32,127.62,156594960
2014-03-31,129.99,133.69,123.57,123.61,182598956
2014-04-30,123.71,128.25,122.84,124.22,127873325
2014-05-31,123.17,126.63,119.62,120.43,113293955
2014-06-30,119.93,128.04,119.42,128.04,139967976
2014-07-31,127.99,129.21,123.23,123.39,140651564
2014-08-31,124.54,126.81,122.45,123.86,118179810
2014-09-30,121.97,122.66,115.85,116.21,140515208
2014-10-31,116.61,120.5,111.66,112.66,155215791
2014-11-30,112.39,115.96,109.67,112.11,147560153
2014-12-31,113.8,118.99,112.41,113.58,153679323
2015-01-31,112.48,125.58,112.32,123.45,197200015
2015-02-28,121.84,123.16,114.29,116.16,125654136
2015-03-31,116.5,116.64,109.77,113.66,133482214
2015-04-30,114.56,117.47,112.77,113.47,106627351
2015-05-31,112.42,117.88,112.28,114.1,99085079
2015-06-30,115.02,115.61,111.57,112.37,110265302
2015-07-31,112.12,112.58,103.43,104.93,157494603
2015-08-31,104.59,112.12,103.78,108.82,151167212
2015-09-30,109.63,110.82,105.27,106.86,113790004
2015-10-31,106.98,113.99,106.63,109.3,131529094
2015-11-30,108.64,108.84,100.99,101.92,106864690
2015-12-31,102.3,104.21,100.23,101.46,124498365
2016-01-31,103.13,107.93,102.485,106.949,139669824
2016-02-29,107.54,120.84,107.35,118.64,314783574
2016-03-31,118.74,122.37,116.16,117.64,259545543
2016-04-30,116.08,123.93,115,123.65,222846154
2016-05-31,123.78,123.96,115.29,116.06,200507202
2016-06-30,115.97,127.05,115.2,126.47,307531809
2016-07-31,127.66,131.15,125.01,128.98,259196810
2016-08-31,128.57,130.55,124.64,124.78,215858763
2016-09-30,124.67,129.08,124.55,125.64,213356183
2016-10-31,125.32,125.46,118.42,121.94,181176377
2016-11-30,122.8,124.76,111.5,111.75,247163989
2016-12-31,111.11,112.5,107,109.61,158943267
2017-01-31,109.62,116.17,109.37,115.55,150390285
2017-02-28,114.66,120.4,114.14,119.23,150071636
2017-03-31,117.98,120.08,114.02,118.72,172413624
2017-04-30,118.69,123.07,110.03,120.77,176028015
2017-05-31,120.21,121.23,115.56,120.62,159321371
2017-06-30,120.17,123.31,117.91,118.02,160690374
2017-07-31,116.54,120.856,114.8,120.75,128409512
2017-08-31,120.44,125.87,118.97,125.82,179357169
2017-09-30,126.01,128.32,121.55,121.58,173311920
2017-10-31,121.17,123.97,119.784,120.67,137647814
2017-11-30,120.98,123.33,120.184,121.1,121886862
2017-12-31,120.94,124.085,117.4,123.65,145754999
2018-01-31,124.66,129.515,124.101,127.65,184628677
2018-02-28,127.18,128.7,124.4,125,176170247
2018-03-31,124.15,128.58,123.575,125.79,143365967
2018-04-30,126.65,129.47,124.19,124.59,148673379
2018-05-31,123.9,125.59,121.97,123.1,136938743
2018-06-30,122.58,123.86,118.01,118.65,133560291
2018-07-31,118.18,119.73,115.12,115.99,130599149
2018-08-31,115.63,115.7,111.06,113.51,148359816
2018-09-30,112.75,114.78,111.85,112.76,97357622
2018-10-31,112.4,117.65,111.9,115.15,228478085
2018-11-30,116.33,117.07,113.42,115.54,186730743
2018-12-31,116.6,121.26,116.295,121.25,178892931
2019-01-31,121.35,125.23,120.69,124.75,195175088
2019-02-28,124.89,127.21,123.19,123.99,141983910
2019-03-31,123.48,125.11,121.03,122.01,168880406
2019-04-30,122.4,123.77,119.55,121.2,124264260
2019-05-31,121.03,123.4,119.54,123.33,140575684
2019-06-30,124.09,135.55,123.9,133.2,205599640
2019-07-31,131.56,136.63,130.55,133.21,226438069
2019-08-31,132.42,145.68,132.305,143.75,322623740
2019-09-30,144.96,146.82,138.03,138.87,235124176
2019-10-31,138.07,143.25,137.8,142.43,179115897
2019-11-30,142.21,142.9,136.19,137.86,139275047
2019-12-31,137.32,143.605,137.3,142.9,121577903
2020-01-31,143.86,149.68,143.4,149.33,195175797
2020-02-29,148.66,158.53,145.8,148.38,254880734
2020-03-31,150,159.37,136.12,148.05,457653310
2020-04-30,148.2,164.42,147.85,158.8,260333668
2020-05-31,158,164.9599,157.8,162.91,235374678
2020-06-30,162.9235,167.9906,157.035,167.37,222149849
2020-07-31,167.05,186.14,165.34,185.43,305203369
2020-08-31,185.05,194.4499,179.04,184.83,389827729
2020-09-30,186.99,186.99,173.77,177.12,219976709
2020-10-31,178.71,181.31,174.83,176.2,172325369
2020-11-30,177.4499,183.53,166.03,166.67,222263179
2020-12-31,169.76,178.4,169.3,178.36,177595697
2021-01-31,181.97,183.21,170.975,172.61,210962470
2021-02-28,175.02,175.26,160.95,161.81,181018178
2021-03-31,163.03,164.15,157.1297,159.96,213383902
2021-04-30,161.56,168.39,161.28,165.66,143031920
2021-05-31,167.6,178.61,165.5,178.38,196307980
2021-06-30,178.76,178.85,164.01,165.63,207522478
2021-07-31,166.65,171.52,165.5,169.82,145195426
2021-08-31,169.3,171.4,160.68,169.69,165398674
2021-09-30,169.94,171.55,160.97,164.22,160619697
2021-10-31,164.29,169.54,163.47,166.65,136145218
2021-11-30,167.38,174.67,164.38,165.5,162180761
2021-12-31,166.84,171.04,163.8,170.96,151248816
2022-01-31,168.86,173.1499,166.365,168.09,211141547
2022-02-28,168.53,182.6,167.03,178.38,254604703
2022-03-31,179.0456,193.3,176.69,180.65,376773555
2022-04-30,179.5501,186.1,175.5,176.91,195352149
2022-05-31,173.6121,177.61,168.01,171.14,179911147
2022-06-30,172.2099,174.94,168.24,168.46,145737063
2022-07-31,167.13,168.68,158.025,164.1,134819994
2022-08-31,164.98,167.98,159.255,159.27,110218825
2022-09-30,158.17,161.62,151.0301,154.67,139879509
2022-10-31,155.438,161.08,151.27,151.91,118408258
2022-11-30,153.82,166.23,150.5703,164.81,114982275
2022-12-31,167.48,170.61,164.3201,169.64,106823105
2023-01-31,171.32,181.22,169.79,179.41,118786883
2023-02-28,179.75,181.73,168.19,169.78,113813799
2023-03-31,170.95,186.24,168.52,183.22,223198008
2023-04-30,183.85,190.41,183.22,184.8,170988342
2023-05-31,186.05,191.36,180.09,182.32,181067431
2023-06-30,182.81,184.21,175.79,178.27,133978121
