Date,Open,High,Low,Close,Volume
2011-03-31,316.16,342.64,313.2,340.8,54020543
2011-04-30,341.68,362.8,336.8,361.2,27028219
2011-05-31,359.92,364.8,301.76,324,53602527
2011-06-30,324.32,324.48,281.12,297.92,33717639
2011-07-31,295.76,314,293.28,299.36,21993412
2011-08-31,307.12,307.76,242.48,276.08,46414306
2011-09-30,275.76,280.64,241.84,243.92,29491285
2011-10-31,240.08,291.92,232.8,285.92,33510499
2011-11-30,276.96,317.92,276.32,310.24,32854100
2011-12-31,309.28,316,285.84,304.88,24910157
2012-01-31,314,319.68,299.92,302.56,25362831
2012-02-29,305.04,336.48,293.44,327.36,24045964
2012-03-31,329.2,338.4,310.96,313.84,27804321
2012-04-30,311.44,321.04,306.48,317.44,14250505
2012-05-31,317.04,322.32,258.96,260.88,21133455
2012-06-30,253.6,262.4,232.16,254.64,26993545
2012-07-31,251.44,278.72,246.56,261.44,23351944
2012-08-31,264.24,291.6,259.68,287.12,18866987
2012-09-30,287.68,297.36,263.84,272.96,21974096
2012-10-31,275.6,277.6,250.8,254.24,24169434
2012-11-30,254.8,263.44,248,260.48,20980608
2012-12-31,264.32,267.76,249.76,266.96,10449597
2013-01-31,272,284.24,268.56,282.24,11460297
2013-02-28,280.24,284.16,263.68,264.48,11997599
2013-03-31,261.28,278.72,257.28,278,10662376
2013-04-30,275.44,278.88,246.32,265.28,17254453
2013-05-31,258.96,276.72,256.96,260.88,17934345
2013-06-30,263.44,280.4,262.32,273.44,13035110
2013-07-31,276.88,308.96,275.68,298.88,16325829
2013-08-31,304.8,315.68,290.8,307.84,18447195
2013-09-30,306,316.32,291.2,294.8,15231348
2013-10-31,292.88,300.72,276.72,277.52,17331531
2013-11-30,275.6,275.6,263.6,267.68,13702644
2013-12-31,267.76,288.56,267.36,282.56,12881351
2014-01-31,277.52,281.44,261.44,278.4,14632300
2014-02-28,278.4,296.88,274.88,293.92,8879930
2014-03-31,299.2,301.92,279.76,292.72,8276295
2014-04-30,291.6,302.48,285.04,290.56,7175094
2014-05-31,288.24,306.16,287.68,301.44,5183110
2014-06-30,300.16,315.52,297.68,311.04,5742603
2014-07-31,312.16,312.96,290.16,290.56,9596488
2014-08-31,288.96,292.48,276.64,286.08,9085429
2014-09-30,282.24,286.08,271.28,275.28,12145041
2014-10-31,276.8,279.84,241.28,245.04,22052797
2014-11-30,244.08,245.76,203.68,204.64,26083362
2014-12-31,202.48,211.12,158.72,162.88,60307810
2015-01-31,159.76,162.8,130.4,142.56,82924510
2015-02-28,147.2,162.32,140.64,144.8,93869679
2015-03-31,145.04,152.8,124.88,134.72,82548248
2015-04-30,136,164.4,135.44,164.08,72082110
2015-05-31,162.32,172,152.72,162.48,53628749
2015-06-30,162.72,166.4,153.84,159.04,41659494
2015-07-31,156.32,156.64,124.32,124.72,66349822
2015-08-31,122.32,129.2,98.96,127.12,85618478
2015-09-30,123.84,126.8,113.28,117.44,76731388
2015-10-31,121.2,129.6,108.88,118.48,76795634
2015-11-30,117.52,123.6,102.48,103.44,64675989
2015-12-31,103.36,104.88,84.16,88,93081671
2016-01-31,90.08,91.36,63.36,77.2,155766166
2016-02-29,74.76,77.2,61.36,72,136516406
2016-03-31,71.84,86.4,71.12,77.6,109299164
2016-04-30,75.28,92,71.92,90.4,93935546
2016-05-31,89.92,97.04,85.04,94.96,59588278
2016-06-30,92.96,99.6,87.68,92.56,64783254
2016-07-31,92.16,94.24,76.4,78.08,61226666
2016-08-31,76.96,91,73.84,82.88,92576256
2016-09-30,81.52,88.24,78.56,87.44,122780799
2016-10-31,88.32,94.32,84.24,84.24,121648319
2016-11-30,85.2,88.8,76.48,87.44,119775338
2016-12-31,90.52,95.52,88.56,93.76,82670370
2017-01-31,95.84,96,88.509,90.56,53278199
2017-02-28,91.36,93.2,88.32,91.6,48120398
2017-03-31,92.08,92.4,79.04,85.12,75091901
2017-04-30,84.92,90.08,80.32,81.92,59535458
2017-05-31,81.52,85.6,75.44,79.68,87344527
2017-06-30,80.08,81.28,69.2,76,95298758
2017-07-31,76.4,82.56,72,82.24,78155891
2017-08-31,81.36,82,74.72,77.04,66198170
2017-09-30,76.8,85.2,76.08,83.44,46818025
2017-10-31,81.36,87.68,79.361,87.44,41938823
2017-11-30,88.24,94.32,86.56,91.76,43994008
2017-12-31,93.2,96.72,89.44,96.08,31348481
2018-01-31,96.56,106.4,96.08,103.84,48558417
2018-02-28,104.64,106.08,93.192,98.96,55994470
2018-03-31,98.08,106.4,96.64,104.72,53486451
2018-04-30,103.84,112,99.76,110.4,46731338
2018-05-31,109.52,117.92,106.64,108.4,56110072
2018-06-30,107.28,120.64,104,120.48,56898566
2018-07-31,120,122,110.08,114.24,59385852
2018-08-31,112.72,118.64,107.52,117.68,52586390
2018-09-30,118.8,124.56,112.57,124.16,38380611
2018-10-31,124,129.92,110.17,110.32,69594351
2018-11-30,110.88,110.88,84.08,85.84,105949153
2018-12-31,90.16,91.805,73.84,77.28,85567412
2019-01-31,75.36,93.04,74.88,90.8,79315012
2019-02-28,91.2,96.48,86.16,95.6,46597902
2019-03-31,95.6,100.48,91.12,100,54711691
2019-04-30,100.96,110.84,100.64,106.32,52877402
2019-05-31,106.24,106.44,88.32,88.8,75980500
2019-06-30,90.4,99.44,84.24,96.32,76645143
2019-07-31,99.52,101,90.96,96.32,70884958
2019-08-31,94.96,95.44,83.92,91.68,88696430
2019-09-30,88.72,105.28,87.92,90.72,82314333
