Date,Open,High,Low,Close,Volume
2005-02-28,61.4481,61.6117,60.7696,60.8581,5008834
2005-03-31,60.5342,61.5139,59.1751,60.3877,43242616
2005-04-30,60.5267,62.8316,59.7235,62.4951,42635110
2005-05-31,62.2997,64.2585,61.3956,64.2208,36931952
2005-06-30,64.3602,65.5775,63.0966,65.3723,51377119
2005-07-31,64.923,65.0764,62.6565,62.9477,37369913
2005-08-31,62.5343,64.9003,61.7063,64.8947,35329262
2005-09-30,64.4381,64.7237,62.1145,62.3315,30885312
2005-10-31,62.0504,62.2494,60.2494,60.6946,31486904
2005-11-30,60.4553,61.6117,59.3994,60.8441,31943519
2005-12-31,60.8441,62.5957,60.0674,62.1267,23913903
2006-01-31,61.9189,62.7176,60.8799,61.2966,20011086
2006-02-28,60.949,61.8291,60.6539,61.758,17825532
2006-03-31,61.3651,61.4354,58.536,58.7289,32857953
2006-04-30,58.2603,58.7503,56.5492,56.8956,45465076
2006-05-31,56.5624,57.5654,55.8126,56.5624,42978007
2006-06-30,56.3825,58.0976,56.1933,57.004,39367127
2006-07-31,56.722,58.0678,56.0783,58.0031,23556567
2006-08-31,57.6816,59.6269,57.489,59.5446,28235209
2006-09-30,59.2342,61.0586,58.6254,60.4309,39040058
2006-10-31,60.2391,60.7557,58.736,60.7134,33911873
2006-11-30,60.582,61.9464,59.6952,61.8779,31263244
2006-12-31,61.7063,62.058,59.5315,59.7829,28112564
2007-01-31,60.3149,60.607,58.543,59.1893,31366046
2007-02-28,59.2538,61.694,58.8172,60.949,29923289
2007-03-31,61.0355,61.2054,59.6408,59.6821,36172324
2007-04-30,59.5647,60.0456,58.8239,59.9975,22244578
2007-05-31,59.8845,60.1805,58.0263,58.3994,22871115
2007-06-30,58.0736,58.7096,55.5738,57.5802,129785331
2007-07-31,57.3341,59.3249,56.302,59.2611,57186542
2007-08-31,58.9905,60.2998,57.9496,60.0866,67481459
2007-09-30,60.0534,61.7001,58.8812,59.9764,70459767
2007-10-31,59.9564,61.7894,59.087,60.831,50559978
2007-11-30,60.8151,65.146,60.8151,63.8037,49020821
2007-12-31,64.0652,64.2891,61.0355,62.9063,49833538
2008-01-31,63.0442,66.3615,63.0101,64.2141,104325815
2008-02-29,64.2208,64.6326,61.2198,63.7052,98001225
2008-03-31,63.3259,66.0829,61.8603,64.8283,103962158
2008-04-30,64.099,64.8466,61.8018,62.9477,80092528
2008-05-31,63.1669,63.3131,60.2618,61.0355,75586418
2008-06-30,60.831,62.7489,59.8898,62.4243,87992691
2008-07-31,62.664,63.3898,60.6733,61.9724,101121266
2008-08-31,61.5017,63.8224,60.7206,63.4383,63864105
2008-09-30,62.8575,68.1844,62.6012,64.1439,115383764
2008-10-31,64.923,67.5636,62.6355,62.7553,58937823
2008-11-30,62.6816,71.6396,62.4312,71.4725,48500432
2008-12-31,72.8428,83.2847,72.4223,80.6549,89285419
2009-01-31,81.1496,81.4061,69.9246,70.1407,92540039
2009-02-28,70.3224,72.1196,68.3198,68.874,80834774
2009-03-31,69.1067,73.062,67.868,71.4648,104875096
2009-04-30,71.7398,72.0384,65.8404,66.3073,60406623
